layer,table,table_status,column,type,key,references,note
project,video_projects,keep,id,char(36),PK,,
project,video_projects,keep,article_id,char(36),FK,articles.id,"Đổi tên từ subject_id — nó đang chứa article_id thật"
project,video_projects,keep,name,varchar(255),,,
project,video_projects,keep,design_id,char(64),,,"MỚI — sha256 khớp brief.json bên Python"
project,video_projects,keep,design_ref,varchar(255),,,"Đã khai từ 2026-07-19, chưa code nào ghi/đọc"
project,video_projects,keep,created_at,timestamp,,,
project,video_projects,keep,updated_at,timestamp,,,
project,video_identities,NEW,id,char(36),PK,,
project,video_identities,NEW,project_id,char(36),FK,video_projects.id,
project,video_identities,NEW,version,int,UK,,"UNIQUE (project_id, version)"
project,video_identities,NEW,identity_json,json,,,"14 khe: design_length_m, length_to_beam_ratio, visible_deck_tiers, bow_profile..."
project,video_identities,NEW,identity_hash,char(64),,,
project,video_identities,NEW,locked_at,datetime,,,"Khoá rồi thì mọi ảnh sau phải theo"
project,video_identities,NEW,created_at,timestamp,,,
project,video_design_cells,NEW,id,char(36),PK,,
project,video_design_cells,NEW,project_id,char(36),FK,video_projects.id,"Khoá theo DỰ ÁN — không theo session/shot"
project,video_design_cells,NEW,view,varchar(40),UK,,"front_three_quarter | side | rear_three_quarter | interior"
project,video_design_cells,NEW,state,varchar(40),UK,,"blueprint | construction | finished"
project,video_design_cells,NEW,representation,varchar(20),UK,,"photo | technical"
project,video_design_cells,NEW,prompt,text,,,
project,video_design_cells,NEW,prompt_sha256,char(64),UK,,"UNIQUE (project_id, prompt_sha256) — CHẶN RENDER LẶP"
project,video_design_cells,NEW,negative_prompt,text,,,
project,video_design_cells,NEW,provider,varchar(40),,,
project,video_design_cells,NEW,model,varchar(80),,,
project,video_design_cells,NEW,artifact_path,varchar(500),,,"Trỏ tới file — KHÔNG lưu bytes trong DB"
project,video_design_cells,NEW,width,int,,,
project,video_design_cells,NEW,height,int,,,
project,video_design_cells,NEW,cost_usd,"decimal(12,6)",,,
project,video_design_cells,NEW,status,varchar(20),,,"candidate | approved | superseded"
project,video_design_cells,NEW,proves_state,varchar(60),,,"Nối vào requires_state của shot"
project,video_design_cells,NEW,source_cell_id,char(36),FK,video_design_cells.id,"Chuỗi dựng dần: mắt này dùng ảnh nào làm nguồn"
project,video_design_cells,NEW,approved_at,datetime,,,
project,video_design_cells,NEW,approved_by,char(36),FK,admins.id,
project,video_design_cells,NEW,created_at,timestamp,,,
project,video_design_cells,NEW,updated_at,timestamp,,,
project,video_cost_entries,NEW,id,char(36),PK,,
project,video_cost_entries,NEW,project_id,char(36),FK,video_projects.id,
project,video_cost_entries,NEW,session_id,char(36),FK,video_sessions.id,"NULL khi chi phí thuộc cấp dự án"
project,video_cost_entries,NEW,entity_type,varchar(40),,,"planning_stage | design_cell | render | audio | publish"
project,video_cost_entries,NEW,entity_id,char(36),,,
project,video_cost_entries,NEW,provider,varchar(40),,,
project,video_cost_entries,NEW,model,varchar(80),,,
project,video_cost_entries,NEW,usage_type,varchar(40),,,"token | image | video | api_call"
project,video_cost_entries,NEW,input_units,"decimal(18,6)",,,
project,video_cost_entries,NEW,output_units,"decimal(18,6)",,,
project,video_cost_entries,NEW,unit,varchar(30),,,
project,video_cost_entries,NEW,cost_usd,"decimal(12,6)",,,"Hôm nay tiền rải ở 4 chỗ — bảng này gộp lại"
project,video_cost_entries,NEW,created_at,timestamp,,,
session,video_sessions,keep,id,char(36),PK,,
session,video_sessions,keep,project_id,char(36),FK,video_projects.id,
session,video_sessions,keep,article_id,char(36),FK,articles.id,
session,video_sessions,keep,requested_by_admin_id,char(36),FK,admins.id,
session,video_sessions,keep,code,varchar(64),UK,,"Khoá Python dùng cho toàn bộ API"
session,video_sessions,keep,status,varchar(30),,,"planning → composing → reviewing → rendering → composing_final → done | failed"
session,video_sessions,keep,renderplan_json,json,,,"Output cuối của Laravel"
session,video_sessions,keep,plan_revision,int,,,
session,video_sessions,keep,planning_revision,int,,,
session,video_sessions,keep,planning_claimed_at,datetime,,,
session,video_sessions,keep,planning_claim_token,char(36),,,"Fencing — kiểm trong mệnh đề WHERE của UPDATE"
session,video_sessions,keep,cost_estimate_total,"decimal(12,6)",,,
session,video_sessions,keep,cost_actual,"decimal(12,6)",,,
session,video_sessions,keep,error_message,text,,,
session,video_sessions,keep,created_at,timestamp,,,
session,video_sessions,keep,updated_at,timestamp,,,
session,video_planning_stages,keep,id,char(36),PK,,
session,video_planning_stages,keep,session_id,char(36),FK,video_sessions.id,
session,video_planning_stages,keep,planning_revision,int,UK,,"UNIQUE (session_id, planning_revision, stage)"
session,video_planning_stages,keep,stage,varchar(30),UK,,"inspiration | concept | finalize — INSPIRATION đã khai enum, CHƯA NỐI"
session,video_planning_stages,keep,status,varchar(20),,,"running | succeeded | failed"
session,video_planning_stages,keep,input_json,json,,,
session,video_planning_stages,keep,input_hash,char(64),,,
session,video_planning_stages,keep,raw_response,text,,,"Nguyên văn model trả — hiện chỉ lưu khi thành công"
session,video_planning_stages,keep,output_json,json,,,
session,video_planning_stages,keep,output_hash,char(64),,,
session,video_planning_stages,keep,claim_token,char(36),,,
session,video_planning_stages,keep,claimed_at,datetime,,,
session,video_planning_stages,keep,model,varchar(80),,,
session,video_planning_stages,keep,instruction_version,varchar(50),,,
session,video_planning_stages,keep,tokens_in,int,,,
